Vendor,Location,Department,Role,Currency,Amount,Item,Rate,Quantity,Summary,Tag,id
Uber,"New Delhi, India",Customer Support,Team Lead,INR,7710,Flight Ticket,3855,2,"Team Lead from Customer Support spent 7710 INR on Flight Ticket at Uber in New Delhi, India.",Travel,ELYR6LTKK7
MakeMyTrip,"New Delhi, India",Marketing,Team Lead,INR,4516,Flight Ticket,4516,1,"Team Lead from Marketing spent 4516 INR on Flight Ticket at MakeMyTrip in New Delhi, India.",Travel,K2CU7A43TV
Expedia,"Ahmedabad, India",Sales,Dept Head,INR,9816,Deluxe Room,4908,2,"Dept Head from Sales spent 9816 INR on Deluxe Room at Expedia in Ahmedabad, India.",Travel,6ADHY0C8E5
OYO,"Lucknow, India",IT,Dept Head,INR,5216,Flight Ticket,2608,2,"Dept Head from IT spent 5216 INR on Flight Ticket at OYO in Lucknow, India.",Travel,AAZVNCDHMH
Zomato,"Jaipur, India",Sales,Employee,INR,4713,Meal,1571,3,"Employee from Sales spent 4713 INR on Meal at Zomato in Jaipur, India.",Meals,XDF1TXD7P0
Expedia,"Jaipur, India",Finance & Accounting,Team Lead,INR,1134,Flight Ticket,1134,1,"Team Lead from Finance & Accounting spent 1134 INR on Flight Ticket at Expedia in Jaipur, India.",Travel,4Y9CFBELNE
Ola,"Ahmedabad, India",Marketing,Dept Head,INR,1891,Flight Ticket,1891,1,"Dept Head from Marketing spent 1891 INR on Flight Ticket at Ola in Ahmedabad, India.",Travel,QTVQJ5HT8H
Zomato,"Lucknow, India",Operations,Employee,INR,14934,Meal,4978,3,"Employee from Operations spent 14934 INR on Meal at Zomato in Lucknow, India.",Meals,WWRTGIKAGX
Amazon,"Chennai, India",Human Resource,Dept Head,INR,3792,Laptop,3792,1,"Dept Head from Human Resource spent 3792 INR on Laptop at Amazon in Chennai, India.",Office Supply,A71QPLU5O7
Uber,"Berlin, Germany",Marketing,Team Lead,EUR,4528,Deluxe Room,2264,2,"Team Lead from Marketing spent 4528 EUR on Deluxe Room at Uber in Berlin, Germany.",Travel,MOAPKFFZKJ
Swiggy,"Bangalore, India",Sales,Manager,INR,8025,Meal,2675,3,"Manager from Sales spent 8025 INR on Meal at Swiggy in Bangalore, India.",Meals,D1N01QBYUU
Goibibo,"Mumbai, India",Human Resource,Dept Head,INR,8310,Flight Ticket,4155,2,"Dept Head from Human Resource spent 8310 INR on Flight Ticket at Goibibo in Mumbai, India.",Travel,3NR9HZGNZ1
Flipkart,"Ahmedabad, India",Sales,Team Lead,INR,5334,Office Chair,2667,2,"Team Lead from Sales spent 5334 INR on Office Chair at Flipkart in Ahmedabad, India.",Office Supply,Z0YPELSOVD
Uber,"Toronto, Canada",Operations,Team Lead,CAD,5541,Flight Ticket,1847,3,"Team Lead from Operations spent 5541 CAD on Flight Ticket at Uber in Toronto, Canada.",Travel,07JVY9S2PT
Swiggy,"Berlin, Germany",IT,Team Lead,EUR,13503,Meal,4501,3,"Team Lead from IT spent 13503 EUR on Meal at Swiggy in Berlin, Germany.",Meals,WQW289HAB4
Goibibo,"Berlin, Germany",IT,Manager,EUR,6534,Deluxe Room,2178,3,"Manager from IT spent 6534 EUR on Deluxe Room at Goibibo in Berlin, Germany.",Travel,NBJZUDV4O4
Swiggy,"Hyderabad, India",Finance & Accounting,Employee,INR,3076,Meal,1538,2,"Employee from Finance & Accounting spent 3076 INR on Meal at Swiggy in Hyderabad, India.",Meals,LWY8O6BS4Q
Uber,"Hyderabad, India",Operations,Manager,INR,935,Flight Ticket,935,1,"Manager from Operations spent 935 INR on Flight Ticket at Uber in Hyderabad, India.",Travel,KT7NIA7QPA
Expedia,"Mumbai, India",Operations,Dept Head,INR,10017,Flight Ticket,3339,3,"Dept Head from Operations spent 10017 INR on Flight Ticket at Expedia in Mumbai, India.",Travel,F8OT7RVL64
Ola,"Hyderabad, India",Human Resource,Employee,INR,8466,Deluxe Room,2822,3,"Employee from Human Resource spent 8466 INR on Deluxe Room at Ola in Hyderabad, India.",Travel,LB1VLNRHXW
Swiggy,"Lucknow, India",IT,Manager,INR,3945,Meal,3945,1,"Manager from IT spent 3945 INR on Meal at Swiggy in Lucknow, India.",Meals,BVIJD2DX4R
Uber,"Dubai, UAE",Sales,Team Lead,AED,11511,Flight Ticket,3837,3,"Team Lead from Sales spent 11511 AED on Flight Ticket at Uber in Dubai, UAE.",Travel,YXP42IXGK7
Swiggy,"Berlin, Germany",Finance & Accounting,Manager,EUR,6412,Meal,3206,2,"Manager from Finance & Accounting spent 6412 EUR on Meal at Swiggy in Berlin, Germany.",Meals,IMQ91KC4NF
Amazon,"Lucknow, India",Customer Support,Employee,INR,4683,Printer,1561,3,"Employee from Customer Support spent 4683 INR on Printer at Amazon in Lucknow, India.",Office Supply,AT4BTBEFNZ
MakeMyTrip,"Jaipur, India",Sales,Employee,INR,6201,Flight Ticket,2067,3,"Employee from Sales spent 6201 INR on Flight Ticket at MakeMyTrip in Jaipur, India.",Travel,4463TAP9VR
Goibibo,"Pune, India",Operations,Team Lead,INR,6458,Flight Ticket,3229,2,"Team Lead from Operations spent 6458 INR on Flight Ticket at Goibibo in Pune, India.",Travel,QUWLGP5GGB
Swiggy,"Ahmedabad, India",Customer Support,Employee,INR,13035,Meal,4345,3,"Employee from Customer Support spent 13035 INR on Meal at Swiggy in Ahmedabad, India.",Meals,GGNTS2VM1Q
Expedia,"Bangalore, India",Marketing,Team Lead,INR,1333,Flight Ticket,1333,1,"Team Lead from Marketing spent 1333 INR on Flight Ticket at Expedia in Bangalore, India.",Travel,HAKZAYUA9M
Amazon,"Jaipur, India",Human Resource,Manager,INR,1929,Office Chair,643,3,"Manager from Human Resource spent 1929 INR on Office Chair at Amazon in Jaipur, India.",Office Supply,JKCYFMF655
Flipkart,"Bangalore, India",Customer Support,Team Lead,INR,3179,Printer,3179,1,"Team Lead from Customer Support spent 3179 INR on Printer at Flipkart in Bangalore, India.",Office Supply,HGXOBS7WR9
Expedia,"Bangalore, India",IT,Manager,INR,11076,Flight Ticket,3692,3,"Manager from IT spent 11076 INR on Flight Ticket at Expedia in Bangalore, India.",Travel,A07K2Z8KZI
Goibibo,"Pune, India",Customer Support,Manager,INR,1894,Deluxe Room,947,2,"Manager from Customer Support spent 1894 INR on Deluxe Room at Goibibo in Pune, India.",Travel,9J24P9U0EG
Swiggy,"Lucknow, India",Customer Support,Dept Head,INR,13539,Meal,4513,3,"Dept Head from Customer Support spent 13539 INR on Meal at Swiggy in Lucknow, India.",Meals,QC9CXA1X1Q
Ola,"Pune, India",Marketing,Team Lead,INR,2119,Deluxe Room,2119,1,"Team Lead from Marketing spent 2119 INR on Deluxe Room at Ola in Pune, India.",Travel,IY8LEDJQSM
Ola,"Chennai, India",Marketing,Dept Head,INR,3136,Deluxe Room,1568,2,"Dept Head from Marketing spent 3136 INR on Deluxe Room at Ola in Chennai, India.",Travel,IZCVHF7S9T
OYO,"Jaipur, India",Operations,Dept Head,INR,2402,Flight Ticket,2402,1,"Dept Head from Operations spent 2402 INR on Flight Ticket at OYO in Jaipur, India.",Travel,LLSGLVUXNN
Flipkart,"New Delhi, India",Sales,Employee,INR,5796,Laptop,1932,3,"Employee from Sales spent 5796 INR on Laptop at Flipkart in New Delhi, India.",Office Supply,QPARMD6P3B
Swiggy,"Ahmedabad, India",Human Resource,Manager,INR,6134,Meal,3067,2,"Manager from Human Resource spent 6134 INR on Meal at Swiggy in Ahmedabad, India.",Meals,EWGGJGGQ65
MakeMyTrip,"Mumbai, India",Customer Support,Dept Head,INR,963,Flight Ticket,963,1,"Dept Head from Customer Support spent 963 INR on Flight Ticket at MakeMyTrip in Mumbai, India.",Travel,D8XY33G3QW
Amazon,"Bangalore, India",Sales,Dept Head,INR,3807,Projector,3807,1,"Dept Head from Sales spent 3807 INR on Projector at Amazon in Bangalore, India.",Office Supply,XE8NEMRG0F
Ola,"Chennai, India",Sales,Employee,INR,2094,Deluxe Room,698,3,"Employee from Sales spent 2094 INR on Deluxe Room at Ola in Chennai, India.",Travel,WC6BP8VOQS
Goibibo,"New Delhi, India",Marketing,Team Lead,INR,5664,Flight Ticket,2832,2,"Team Lead from Marketing spent 5664 INR on Flight Ticket at Goibibo in New Delhi, India.",Travel,6QGDF2CDYS
Ola,"Ahmedabad, India",Customer Support,Dept Head,INR,3237,Deluxe Room,1079,3,"Dept Head from Customer Support spent 3237 INR on Deluxe Room at Ola in Ahmedabad, India.",Travel,N71B7H44R5
Zomato,Singapore,Customer Support,Employee,SGD,7473,Meal,2491,3,Employee from Customer Support spent 7473 SGD on Meal at Zomato in Singapore.,Meals,H2W78U82DT
Uber,"Chennai, India",Marketing,Team Lead,INR,4719,Deluxe Room,4719,1,"Team Lead from Marketing spent 4719 INR on Deluxe Room at Uber in Chennai, India.",Travel,KWMZBX32M3
Zomato,"Ahmedabad, India",Sales,Dept Head,INR,7467,Meal,2489,3,"Dept Head from Sales spent 7467 INR on Meal at Zomato in Ahmedabad, India.",Meals,2ZVBUJJ5FV
Zomato,"Hyderabad, India",Customer Support,Employee,INR,2117,Meal,2117,1,"Employee from Customer Support spent 2117 INR on Meal at Zomato in Hyderabad, India.",Meals,OFQ0NQCR1R
Expedia,"New Delhi, India",Marketing,Team Lead,INR,14190,Deluxe Room,4730,3,"Team Lead from Marketing spent 14190 INR on Deluxe Room at Expedia in New Delhi, India.",Travel,QXEYS05N17
Goibibo,"Kolkata, India",Customer Support,Team Lead,INR,4442,Deluxe Room,2221,2,"Team Lead from Customer Support spent 4442 INR on Deluxe Room at Goibibo in Kolkata, India.",Travel,96ALUKSNW6
Amazon,"Pune, India",Customer Support,Manager,INR,2704,Laptop,1352,2,"Manager from Customer Support spent 2704 INR on Laptop at Amazon in Pune, India.",Office Supply,MXDEHO9CCD
MakeMyTrip,"Hyderabad, India",IT,Team Lead,INR,7972,Flight Ticket,3986,2,"Team Lead from IT spent 7972 INR on Flight Ticket at MakeMyTrip in Hyderabad, India.",Travel,HMN8M3ZXM4
Goibibo,"Chennai, India",Human Resource,Employee,INR,13935,Deluxe Room,4645,3,"Employee from Human Resource spent 13935 INR on Deluxe Room at Goibibo in Chennai, India.",Travel,RAJDTSY241
Flipkart,"Chennai, India",Operations,Manager,INR,3363,Printer,1121,3,"Manager from Operations spent 3363 INR on Printer at Flipkart in Chennai, India.",Office Supply,RGVHYDEB32
Expedia,Hong Kong,Customer Support,Dept Head,HKD,4515,Deluxe Room,4515,1,Dept Head from Customer Support spent 4515 HKD on Deluxe Room at Expedia in Hong Kong.,Travel,SMKG24LZ8O
Goibibo,"Kolkata, India",IT,Manager,INR,517,Flight Ticket,517,1,"Manager from IT spent 517 INR on Flight Ticket at Goibibo in Kolkata, India.",Travel,EV0I3BNV6I
Uber,"Toronto, Canada",Customer Support,Dept Head,CAD,976,Flight Ticket,976,1,"Dept Head from Customer Support spent 976 CAD on Flight Ticket at Uber in Toronto, Canada.",Travel,U4VY1NN6OU
Goibibo,"Pune, India",Customer Support,Manager,INR,4220,Flight Ticket,4220,1,"Manager from Customer Support spent 4220 INR on Flight Ticket at Goibibo in Pune, India.",Travel,HT6NZWM9FD
Uber,"Jaipur, India",Sales,Manager,INR,4217,Flight Ticket,4217,1,"Manager from Sales spent 4217 INR on Flight Ticket at Uber in Jaipur, India.",Travel,WFYEYFG9XO
Uber,"Toronto, Canada",Finance & Accounting,Dept Head,CAD,1498,Deluxe Room,749,2,"Dept Head from Finance & Accounting spent 1498 CAD on Deluxe Room at Uber in Toronto, Canada.",Travel,4RDEDF2YEK
OYO,"New Delhi, India",Finance & Accounting,Dept Head,INR,11631,Flight Ticket,3877,3,"Dept Head from Finance & Accounting spent 11631 INR on Flight Ticket at OYO in New Delhi, India.",Travel,LENM7BGM52
Amazon,"London, UK",Human Resource,Employee,GBP,5294,Office Chair,2647,2,"Employee from Human Resource spent 5294 GBP on Office Chair at Amazon in London, UK.",Office Supply,0ZYK7YDKKY
Goibibo,"Chennai, India",Marketing,Manager,INR,3062,Flight Ticket,3062,1,"Manager from Marketing spent 3062 INR on Flight Ticket at Goibibo in Chennai, India.",Travel,0VV0WRSK9X
Ola,"New Delhi, India",Sales,Employee,INR,5728,Flight Ticket,2864,2,"Employee from Sales spent 5728 INR on Flight Ticket at Ola in New Delhi, India.",Travel,XGXA1LW6DZ
OYO,"Bangalore, India",Sales,Employee,INR,7905,Flight Ticket,2635,3,"Employee from Sales spent 7905 INR on Flight Ticket at OYO in Bangalore, India.",Travel,47YR8IGXPF
Uber,"Hyderabad, India",Operations,Manager,INR,9394,Flight Ticket,4697,2,"Manager from Operations spent 9394 INR on Flight Ticket at Uber in Hyderabad, India.",Travel,QI5QLKHYZI
Zomato,"Lucknow, India",Marketing,Dept Head,INR,669,Meal,669,1,"Dept Head from Marketing spent 669 INR on Meal at Zomato in Lucknow, India.",Meals,T7PL82S9AW
Amazon,"Kolkata, India",Finance & Accounting,Team Lead,INR,1907,Printer,1907,1,"Team Lead from Finance & Accounting spent 1907 INR on Printer at Amazon in Kolkata, India.",Office Supply,XIOVM27D0S
Swiggy,"Hyderabad, India",IT,Employee,INR,4293,Meal,4293,1,"Employee from IT spent 4293 INR on Meal at Swiggy in Hyderabad, India.",Meals,02LY47LZQ8
Amazon,Singapore,Human Resource,Dept Head,SGD,4653,Office Chair,4653,1,Dept Head from Human Resource spent 4653 SGD on Office Chair at Amazon in Singapore.,Office Supply,LMZLJEXRMQ
Uber,"Bangalore, India",IT,Dept Head,INR,3078,Flight Ticket,1026,3,"Dept Head from IT spent 3078 INR on Flight Ticket at Uber in Bangalore, India.",Travel,AW1UMPCP9W
Goibibo,"Pune, India",Customer Support,Team Lead,INR,4143,Flight Ticket,1381,3,"Team Lead from Customer Support spent 4143 INR on Flight Ticket at Goibibo in Pune, India.",Travel,XKTIFEILAZ
Expedia,"Mumbai, India",Human Resource,Team Lead,INR,1864,Flight Ticket,1864,1,"Team Lead from Human Resource spent 1864 INR on Flight Ticket at Expedia in Mumbai, India.",Travel,LEA0D9C473
Flipkart,"Jaipur, India",Finance & Accounting,Manager,INR,2919,Office Chair,973,3,"Manager from Finance & Accounting spent 2919 INR on Office Chair at Flipkart in Jaipur, India.",Office Supply,MA4ZY0R26T
Expedia,Singapore,Operations,Team Lead,SGD,7218,Flight Ticket,3609,2,Team Lead from Operations spent 7218 SGD on Flight Ticket at Expedia in Singapore.,Travel,I8HZXUCB3J
Expedia,"Sydney, Australia",Operations,Team Lead,AUD,2680,Deluxe Room,1340,2,"Team Lead from Operations spent 2680 AUD on Deluxe Room at Expedia in Sydney, Australia.",Travel,10VBU5XWNC
OYO,"Ahmedabad, India",Sales,Team Lead,INR,5932,Flight Ticket,2966,2,"Team Lead from Sales spent 5932 INR on Flight Ticket at OYO in Ahmedabad, India.",Travel,R76RHPEXK6
OYO,"Lucknow, India",Marketing,Employee,INR,9400,Deluxe Room,4700,2,"Employee from Marketing spent 9400 INR on Deluxe Room at OYO in Lucknow, India.",Travel,LUQUZZR7ZE
OYO,"Bangalore, India",Operations,Employee,INR,11055,Flight Ticket,3685,3,"Employee from Operations spent 11055 INR on Flight Ticket at OYO in Bangalore, India.",Travel,A9LZ8KH0LO
Flipkart,"Pune, India",Operations,Team Lead,INR,3827,Office Chair,3827,1,"Team Lead from Operations spent 3827 INR on Office Chair at Flipkart in Pune, India.",Office Supply,1MIS0RIN2K
Uber,"Jaipur, India",Sales,Employee,INR,4264,Deluxe Room,2132,2,"Employee from Sales spent 4264 INR on Deluxe Room at Uber in Jaipur, India.",Travel,SO3LBV83WC
Goibibo,"Toronto, Canada",Finance & Accounting,Employee,CAD,7258,Flight Ticket,3629,2,"Employee from Finance & Accounting spent 7258 CAD on Flight Ticket at Goibibo in Toronto, Canada.",Travel,0FFMYV8WVH
Flipkart,"Mumbai, India",IT,Employee,INR,9288,Printer,4644,2,"Employee from IT spent 9288 INR on Printer at Flipkart in Mumbai, India.",Office Supply,K7SVIB05LL
OYO,"Mumbai, India",Finance & Accounting,Employee,INR,11118,Deluxe Room,3706,3,"Employee from Finance & Accounting spent 11118 INR on Deluxe Room at OYO in Mumbai, India.",Travel,XJ3DIPPXML
Zomato,"Mumbai, India",Finance & Accounting,Employee,INR,9974,Meal,4987,2,"Employee from Finance & Accounting spent 9974 INR on Meal at Zomato in Mumbai, India.",Meals,WGMM1BS2KO
Uber,"Pune, India",Customer Support,Employee,INR,8505,Flight Ticket,2835,3,"Employee from Customer Support spent 8505 INR on Flight Ticket at Uber in Pune, India.",Travel,XT17WR7C1P
Uber,"Toronto, Canada",Human Resource,Employee,CAD,5703,Deluxe Room,1901,3,"Employee from Human Resource spent 5703 CAD on Deluxe Room at Uber in Toronto, Canada.",Travel,A57NIU8YE2
Goibibo,"Jaipur, India",Marketing,Manager,INR,2189,Deluxe Room,2189,1,"Manager from Marketing spent 2189 INR on Deluxe Room at Goibibo in Jaipur, India.",Travel,J7EQZPS3K1
Ola,"Sydney, Australia",IT,Dept Head,AUD,1340,Deluxe Room,670,2,"Dept Head from IT spent 1340 AUD on Deluxe Room at Ola in Sydney, Australia.",Travel,56FAK4KCXV
Ola,"Mumbai, India",Sales,Dept Head,INR,7368,Flight Ticket,2456,3,"Dept Head from Sales spent 7368 INR on Flight Ticket at Ola in Mumbai, India.",Travel,WMB7LD0T1X
OYO,"Mumbai, India",Marketing,Team Lead,INR,1776,Flight Ticket,888,2,"Team Lead from Marketing spent 1776 INR on Flight Ticket at OYO in Mumbai, India.",Travel,4BHOP6YDNX
Ola,"Pune, India",Customer Support,Employee,INR,4947,Flight Ticket,4947,1,"Employee from Customer Support spent 4947 INR on Flight Ticket at Ola in Pune, India.",Travel,3TC1NYMVTI
Swiggy,"New Delhi, India",Finance & Accounting,Team Lead,INR,8745,Meal,2915,3,"Team Lead from Finance & Accounting spent 8745 INR on Meal at Swiggy in New Delhi, India.",Meals,GGLHXRXBXK
Amazon,"Sydney, Australia",Sales,Dept Head,AUD,2060,Projector,2060,1,"Dept Head from Sales spent 2060 AUD on Projector at Amazon in Sydney, Australia.",Office Supply,Y4S2XKWHKO
OYO,"Chennai, India",IT,Employee,INR,9230,Deluxe Room,4615,2,"Employee from IT spent 9230 INR on Deluxe Room at OYO in Chennai, India.",Travel,8RN568028U
Flipkart,"Hyderabad, India",IT,Team Lead,INR,6384,Laptop,2128,3,"Team Lead from IT spent 6384 INR on Laptop at Flipkart in Hyderabad, India.",Office Supply,0CLPNHWCLZ
Zomato,"Kolkata, India",Marketing,Manager,INR,2068,Meal,1034,2,"Manager from Marketing spent 2068 INR on Meal at Zomato in Kolkata, India.",Meals,6FH8D6NUAC
Swiggy,"Bangalore, India",Customer Support,Team Lead,INR,3768,Meal,1256,3,"Team Lead from Customer Support spent 3768 INR on Meal at Swiggy in Bangalore, India.",Meals,NPVUI73UQM
MakeMyTrip,"Lucknow, India",Marketing,Team Lead,INR,6801,Deluxe Room,2267,3,"Team Lead from Marketing spent 6801 INR on Deluxe Room at MakeMyTrip in Lucknow, India.",Travel,TN8S5NSMFJ
Goibibo,"Chennai, India",Sales,Dept Head,INR,14007,Deluxe Room,4669,3,"Dept Head from Sales spent 14007 INR on Deluxe Room at Goibibo in Chennai, India.",Travel,BM84041S41
OYO,"Jaipur, India",Operations,Employee,INR,7101,Flight Ticket,2367,3,"Employee from Operations spent 7101 INR on Flight Ticket at OYO in Jaipur, India.",Travel,GC04SC5XDG
Zomato,"Lucknow, India",Finance & Accounting,Dept Head,INR,7562,Meal,3781,2,"Dept Head from Finance & Accounting spent 7562 INR on Meal at Zomato in Lucknow, India.",Meals,5XAC95BCPC
Flipkart,"Bangalore, India",Operations,Team Lead,INR,7740,Projector,2580,3,"Team Lead from Operations spent 7740 INR on Projector at Flipkart in Bangalore, India.",Office Supply,P97LAJ9XZ9
Flipkart,"Mumbai, India",Sales,Manager,INR,2358,Projector,2358,1,"Manager from Sales spent 2358 INR on Projector at Flipkart in Mumbai, India.",Office Supply,AWV6CT283W
OYO,"Kolkata, India",Customer Support,Dept Head,INR,7473,Deluxe Room,2491,3,"Dept Head from Customer Support spent 7473 INR on Deluxe Room at OYO in Kolkata, India.",Travel,M04U2HOVUZ
OYO,"Ahmedabad, India",Sales,Dept Head,INR,6012,Deluxe Room,3006,2,"Dept Head from Sales spent 6012 INR on Deluxe Room at OYO in Ahmedabad, India.",Travel,8VA5M5CHXF
Ola,"Hyderabad, India",IT,Employee,INR,11397,Flight Ticket,3799,3,"Employee from IT spent 11397 INR on Flight Ticket at Ola in Hyderabad, India.",Travel,63MY1XWCZW
Expedia,"London, UK",Human Resource,Dept Head,GBP,3350,Flight Ticket,1675,2,"Dept Head from Human Resource spent 3350 GBP on Flight Ticket at Expedia in London, UK.",Travel,IHXPBTLCX8
OYO,"Jaipur, India",Sales,Employee,INR,6930,Flight Ticket,2310,3,"Employee from Sales spent 6930 INR on Flight Ticket at OYO in Jaipur, India.",Travel,IBZJS9S9FO
Swiggy,"Chennai, India",Human Resource,Dept Head,INR,7407,Meal,2469,3,"Dept Head from Human Resource spent 7407 INR on Meal at Swiggy in Chennai, India.",Meals,93LFHMGWRO
MakeMyTrip,"Jaipur, India",Human Resource,Team Lead,INR,2025,Deluxe Room,2025,1,"Team Lead from Human Resource spent 2025 INR on Deluxe Room at MakeMyTrip in Jaipur, India.",Travel,2LGT3XKSD4
Expedia,"Hyderabad, India",Operations,Employee,INR,5664,Flight Ticket,2832,2,"Employee from Operations spent 5664 INR on Flight Ticket at Expedia in Hyderabad, India.",Travel,ZI9NFBZA0Y
Flipkart,"Kolkata, India",Customer Support,Team Lead,INR,12528,Laptop,4176,3,"Team Lead from Customer Support spent 12528 INR on Laptop at Flipkart in Kolkata, India.",Office Supply,XKXN2MSRQZ
Uber,"Ahmedabad, India",Human Resource,Team Lead,INR,9933,Deluxe Room,3311,3,"Team Lead from Human Resource spent 9933 INR on Deluxe Room at Uber in Ahmedabad, India.",Travel,BLP35BG7E5
MakeMyTrip,"Pune, India",Human Resource,Manager,INR,4694,Deluxe Room,2347,2,"Manager from Human Resource spent 4694 INR on Deluxe Room at MakeMyTrip in Pune, India.",Travel,CEANVD1SDR
Flipkart,"Hyderabad, India",Sales,Dept Head,INR,5397,Printer,1799,3,"Dept Head from Sales spent 5397 INR on Printer at Flipkart in Hyderabad, India.",Office Supply,J19FE9ED2K
Amazon,"New Delhi, India",IT,Team Lead,INR,7467,Laptop,2489,3,"Team Lead from IT spent 7467 INR on Laptop at Amazon in New Delhi, India.",Office Supply,PVH08SHMW0
Uber,"Jaipur, India",Marketing,Dept Head,INR,2602,Deluxe Room,1301,2,"Dept Head from Marketing spent 2602 INR on Deluxe Room at Uber in Jaipur, India.",Travel,HASNUB8EFG
Flipkart,"Pune, India",Finance & Accounting,Manager,INR,4617,Laptop,4617,1,"Manager from Finance & Accounting spent 4617 INR on Laptop at Flipkart in Pune, India.",Office Supply,JTOHWBP9U6
Ola,"Bangalore, India",Marketing,Team Lead,INR,916,Flight Ticket,916,1,"Team Lead from Marketing spent 916 INR on Flight Ticket at Ola in Bangalore, India.",Travel,ND585M36AN
Amazon,"Mumbai, India",IT,Manager,INR,8150,Projector,4075,2,"Manager from IT spent 8150 INR on Projector at Amazon in Mumbai, India.",Office Supply,K499QIXIIY
Amazon,"Lucknow, India",Human Resource,Manager,INR,7336,Laptop,3668,2,"Manager from Human Resource spent 7336 INR on Laptop at Amazon in Lucknow, India.",Office Supply,QQRO5HG91L
MakeMyTrip,"Lucknow, India",Human Resource,Employee,INR,4704,Flight Ticket,1568,3,"Employee from Human Resource spent 4704 INR on Flight Ticket at MakeMyTrip in Lucknow, India.",Travel,CH6X6JVN31
Expedia,"New York, USA",Finance & Accounting,Dept Head,USD,2033,Flight Ticket,2033,1,"Dept Head from Finance & Accounting spent 2033 USD on Flight Ticket at Expedia in New York, USA.",Travel,BHIJY3JBJ9
Swiggy,"Chennai, India",IT,Manager,INR,13128,Meal,4376,3,"Manager from IT spent 13128 INR on Meal at Swiggy in Chennai, India.",Meals,D4J775UD6G
Expedia,"Jaipur, India",Finance & Accounting,Dept Head,INR,2614,Deluxe Room,2614,1,"Dept Head from Finance & Accounting spent 2614 INR on Deluxe Room at Expedia in Jaipur, India.",Travel,HPGXLCE3K2
Expedia,Hong Kong,IT,Manager,HKD,2830,Deluxe Room,2830,1,Manager from IT spent 2830 HKD on Deluxe Room at Expedia in Hong Kong.,Travel,VF04S4Y3EB
MakeMyTrip,"Chennai, India",Operations,Team Lead,INR,4147,Flight Ticket,4147,1,"Team Lead from Operations spent 4147 INR on Flight Ticket at MakeMyTrip in Chennai, India.",Travel,C4B3T10EYO
Amazon,"Lucknow, India",Operations,Employee,INR,3014,Printer,3014,1,"Employee from Operations spent 3014 INR on Printer at Amazon in Lucknow, India.",Office Supply,A0NKP9M1JZ
OYO,"Bangalore, India",Customer Support,Team Lead,INR,1833,Flight Ticket,1833,1,"Team Lead from Customer Support spent 1833 INR on Flight Ticket at OYO in Bangalore, India.",Travel,HQWADQONBW
OYO,"London, UK",IT,Employee,GBP,3022,Flight Ticket,1511,2,"Employee from IT spent 3022 GBP on Flight Ticket at OYO in London, UK.",Travel,2TFWGE5O2C
Uber,"London, UK",Sales,Team Lead,GBP,14844,Flight Ticket,4948,3,"Team Lead from Sales spent 14844 GBP on Flight Ticket at Uber in London, UK.",Travel,7SYGB17OJN
Flipkart,"Kolkata, India",Finance & Accounting,Manager,INR,7398,Office Chair,2466,3,"Manager from Finance & Accounting spent 7398 INR on Office Chair at Flipkart in Kolkata, India.",Office Supply,4S1KJLICOZ
Swiggy,"Ahmedabad, India",IT,Employee,INR,1956,Meal,1956,1,"Employee from IT spent 1956 INR on Meal at Swiggy in Ahmedabad, India.",Meals,BRPS9VKKZ3
Goibibo,"Mumbai, India",Finance & Accounting,Manager,INR,3793,Flight Ticket,3793,1,"Manager from Finance & Accounting spent 3793 INR on Flight Ticket at Goibibo in Mumbai, India.",Travel,IURMP24YF4
Amazon,"Jaipur, India",Marketing,Dept Head,INR,4404,Projector,4404,1,"Dept Head from Marketing spent 4404 INR on Projector at Amazon in Jaipur, India.",Office Supply,0Q64XRDWRU
Uber,"New Delhi, India",Sales,Manager,INR,9342,Flight Ticket,4671,2,"Manager from Sales spent 9342 INR on Flight Ticket at Uber in New Delhi, India.",Travel,TNKE0YA18N
Swiggy,"Jaipur, India",Marketing,Manager,INR,4452,Meal,4452,1,"Manager from Marketing spent 4452 INR on Meal at Swiggy in Jaipur, India.",Meals,5FUJK846GP
Zomato,"New Delhi, India",Customer Support,Dept Head,INR,12087,Meal,4029,3,"Dept Head from Customer Support spent 12087 INR on Meal at Zomato in New Delhi, India.",Meals,X2OVGTNBJJ
OYO,"Bangalore, India",Marketing,Team Lead,INR,4818,Deluxe Room,2409,2,"Team Lead from Marketing spent 4818 INR on Deluxe Room at OYO in Bangalore, India.",Travel,H6XLLG9C40
OYO,"Hyderabad, India",Operations,Employee,INR,704,Deluxe Room,704,1,"Employee from Operations spent 704 INR on Deluxe Room at OYO in Hyderabad, India.",Travel,LDDEQVABIG
Amazon,"Pune, India",Sales,Dept Head,INR,4240,Laptop,2120,2,"Dept Head from Sales spent 4240 INR on Laptop at Amazon in Pune, India.",Office Supply,89ICKB0QYW
OYO,"Jaipur, India",Finance & Accounting,Team Lead,INR,10500,Flight Ticket,3500,3,"Team Lead from Finance & Accounting spent 10500 INR on Flight Ticket at OYO in Jaipur, India.",Travel,O6S90QC4KU
MakeMyTrip,"Ahmedabad, India",Operations,Dept Head,INR,10728,Deluxe Room,3576,3,"Dept Head from Operations spent 10728 INR on Deluxe Room at MakeMyTrip in Ahmedabad, India.",Travel,961IAP0UPK
